EthernetType,SrcMacAddr,DstMacAddr,IP version,IP header,Length	TypeOfService,	IP Total Length	,Identification	,TimeToLive,protocol	,IPchecksum	,Src IP Addr,	Dst IP Addr
0x0800,[dc:a6:32:c3:2e:c1],[b0:7d:64:f8:a4:3a],IPv4,5DWORDS(20Bytes),16,92Bytes,44722,64,6,0x536D,192.168.219.182,192.168.219.100
0x0800,[dc:a6:32:c3:2e:c1],[b0:7d:64:f8:a4:3a],IPv4,5DWORDS(20Bytes),16,260Bytes,44723,64,6,0x52C4,192.168.219.182,192.168.219.100
0x0800,[dc:a6:32:c3:2e:c1],[b0:7d:64:f8:a4:3a],IPv4,5DWORDS(20Bytes),16,196Bytes,44724,64,6,0x5303,192.168.219.182,192.168.219.100
0x0800,[dc:a6:32:c3:2e:c1],[b0:7d:64:f8:a4:3a],IPv4,5DWORDS(20Bytes),16,212Bytes,44725,64,6,0x52F2,192.168.219.182,192.168.219.100
0x0800,[dc:a6:32:c3:2e:c1],[1c:a5:32:09:ad:30],IPv4,5DWORDS(20Bytes),0,84Bytes,13397,64,1,0x59E5,192.168.219.182,8.8.8.8
0x0800,[b0:7d:64:f8:a4:3a],[dc:a6:32:c3:2e:c1],IPv4,5DWORDS(20Bytes),0,40Bytes,27716,128,6,0x561F,192.168.219.100,192.168.219.182
0x0800,[b0:7d:64:f8:a4:3a],[dc:a6:32:c3:2e:c1],IPv4,5DWORDS(20Bytes),0,40Bytes,27717,128,6,0x561E,192.168.219.100,192.168.219.182
0x0800,[1c:a5:32:09:ad:30],[dc:a6:32:c3:2e:c1],IPv4,5DWORDS(20Bytes),0,84Bytes,0,113,1,0x9D3A,8.8.8.8,192.168.219.182
0x0800,[dc:a6:32:c3:2e:c1],[b0:7d:64:f8:a4:3a],IPv4,5DWORDS(20Bytes),16,132Bytes,44726,64,6,0x5341,192.168.219.182,192.168.219.100
0x0800,[00:00:00:00:00:00],[00:00:00:00:00:00],IPv4,5DWORDS(20Bytes),0,60Bytes,52589,64,6,0x6F4C,127.0.0.1,127.0.0.1
0x0800,[00:00:00:00:00:00],[00:00:00:00:00:00],IPv4,5DWORDS(20Bytes),0,60Bytes,52589,64,6,0x6F4C,127.0.0.1,127.0.0.1
0x0800,[00:00:00:00:00:00],[00:00:00:00:00:00],IPv4,5DWORDS(20Bytes),0,60Bytes,0,64,6,0x3CBA,127.0.0.1,127.0.0.1
0x0800,[00:00:00:00:00:00],[00:00:00:00:00:00],IPv4,5DWORDS(20Bytes),0,60Bytes,0,64,6,0x3CBA,127.0.0.1,127.0.0.1
0x0800,[00:00:00:00:00:00],[00:00:00:00:00:00],IPv4,5DWORDS(20Bytes),0,52Bytes,52590,64,6,0x6F53,127.0.0.1,127.0.0.1
