ICMP Header Type,Code, ICMPCheckSum
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
(IcmpPacket)0,0,
(IcmpPacket)0,0,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)3,1,
(IcmpPacket)0,0,
(IcmpPacket)8,0,
